tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
mas-KE	mas	KE	Masai		0.0160		50	KE	KEN
mas-TZ	mas	TZ	Masai		0.0150	R1186	50	TZ	TZA
maz-MX	maz	MX	Central Mazahua		0.0034			MX	MEX
mdf-RU	mdf	RU	Moksha	official_regional	0.0021			RU	RUS
mdh-PH	mdh	PH	Maguindanaon	official_regional	0.0120			PH	PHL
mdr-ID	mdr	ID	Mandar		0.0009			ID	IDN
men-LR	men	LR	Mende		0.0048			LR	LBR
men-SL	men	SL	Mende		0.2700			SL	SLE
mer-KE	mer	KE	Meru		0.0400			KE	KEN
mfa-TH	mfa	TH	Pattani Malay		0.0500			TH	THA
mfe-MU	mfe	MU	Morisyen		0.9000			MU	MUS
mg-MG	mg	MG	Malagasy	official	0.9000	R1089		MG	MDG
mgh-MZ	mgh	MZ	Makhuwa-Meetto		0.0450	R1274		MZ	MOZ
mgo-CM	mgo	CM	Metaʼ		0.0047	R1266	5	CM	CMR
mgp-NP	mgp	NP	Eastern Magar		0.0110			NP	NPL
mgy-TZ	mgy	TZ	Mbunga		0.0140			TZ	TZA
mh-MH	mh	MH	Marshallese	official	0.7300			MH	MHL
mi-NZ	mi	NZ	Maori	official	0.0250	R1044		NZ	NZL
min-ID	min	ID	Minangkabau		0.0300		10	ID	IDN
mk-AL	mk	AL	Macedonian		0.0047			AL	ALB
mk-GR	mk	GR	Macedonian		0.0160			GR	GRC
mk-MK	mk	MK	Macedonian	official	0.6700			MK	MKD
ml-AE	ml	AE	Malayalam		0.0700			AE	ARE
ml-BH	ml	BH	Malayalam		0.0330	R1109		BH	BHR
ml-GB	ml	GB	Malayalam		0.0004	R1113		GB	GBR
ml-IL	ml	IL	Malayalam		0.0010	R1115		IL	ISR
ml-IN	ml	IN	Malayalam	official_regional	0.0320	R1195		IN	IND
ml-MY	ml	MY	Malayalam		0.0015			MY	MYS
ml-QA	ml	QA	Malayalam		0.0031			QA	QAT
ml-SG	ml	SG	Malayalam		0.0018			SG	SGP
mn_Cyrl-MN	mn_Cyrl	MN	Mongolian (Cyrillic)	official	0.9300			MN	MNG
mn_Cyrl-RU	mn_Cyrl	RU	Mongolian (Cyrillic)		0.0000			RU	RUS
mn_Mong-CN	mn_Mong	CN	Mongolian (Mongolian)	official_regional	0.0026			CN	CHN
mni-BD	mni	BD	Manipuri		0.0001			BD	BGD
mni-IN	mni	IN	Manipuri		0.0011			IN	IND
mnw-MM	mnw	MM	Mon		0.0150			MM	MMR
mnw-TH	mnw	TH	Mon		0.0017			TH	THA
moe-CA	moe	CA	Montagnais		0.0003	R1063		CA	CAN
moh-CA	moh	CA	Mohawk		0.0001	R1090		CA	CAN
mos-BF	mos	BF	Mossi		0.4000	R1105		BF	BFA
mr-IN	mr	IN	Marathi	official_regional	0.0700	R1195		IN	IND
mrd-NP	mrd	NP	Western Magar		0.0083			NP	NPL
mrj-RU	mrj	RU	Western Mari		0.0002			RU	RUS
ms_Arab-BN	ms_Arab	BN	Malay (Arabic)	official	0.0500	R1219		BN	BRN
ms_Arab-CC	ms_Arab	CC	Malay (Arabic)		0.8300			CC	CCK
